This corresponds to Model B of Holden et al. (2017), Geophysical Research Letters, http://dx.doi.org/10.1002/2017GL075301.
    segment           lat             lon          depth(km)       slip(m)     risetime(s)    rupturetime(s)       strike           dip             rake         patchlength(m)     patchwidth(m)   
               1      -42.629176       172.82901       14.556605            2.67               2                4.96             248              61             120                  3000                3000
               1        -42.6392       172.79508       14.556605            2.63               2                6.58             248              61             120                  3000                3000
               1      -42.649305       172.76114       14.556605            2.53               2                8.19             248              61             120                  3000                3000
               1      -42.659309       172.72719       14.556605            2.43               2                9.81             248              61             120                  3000                3000
               1      -42.669393       172.69323       14.556605            2.31               2               11.43             248              61             120                  3000                3000
               1      -42.679377       172.65914       14.556605            2.19               2               13.04             248              61             120                  3000                3000
               1      -42.689351       172.62516       14.556605            1.98               2               14.66             248              61             120                  3000                3000
               1      -42.699405       172.59117       14.556605            1.84               2               16.27             248              61             120                  3000                3000
               1      -42.341749       173.73467       17.180465            0.84               2               38.72             248              61             120                  3000                3000
               1      -42.352039       173.70105       17.180465            1.28               2               37.11             248              61             120                  3000                3000
               1      -42.362409       173.66741       17.180465            1.53               2               35.49             248              61             120                  3000                3000
               1      -42.372679       173.63364       17.180465            1.76               2               33.88             248              61             120                  3000                3000
               1       -42.38294       173.59998       17.180465            1.91               2               32.26             248              61             120                  3000                3000
               1       -42.39328       173.56632       17.180465            2.12               2               30.65             248              61             120                  3000                3000
               1      -42.403521       173.53264       17.180465            2.25               2               29.03             248              61             120                  3000                3000
