#ID,OT,Lat,Lon,Dep,NrStaMLv,NrStaMLNZ20,MLv,MLNZ20,Ratio MLNZ20/MLv
2025p054050,2025-01-20T23:58:01.2Z,-38.29,178.97,33,4,3,2.52,2.35,.9325
2025p054055,2025-01-21T00:01:13.1Z,-39.39,175.54,64,3,3,0.96,1.44,1.500
2025p054122,2025-01-21T00:36:32.6Z,-39.68,176.19,16,6,6,1.09,1.05,.9633
2025p054134,2025-01-21T00:42:39.2Z,-39.26,176.62,13,12,11,1.89,1.60,.8465
2025p054152,2025-01-21T00:52:34.8Z,-40.84,172.41,6,7,6,2.62,2.54,.9694
2025p054168,2025-01-21T01:00:51.5Z,-40.06,177.00,7,6,6,1.70,1.45,.8529
2025p054175,2025-01-21T01:04:40.4Z,-39.95,176.64,31,7,7,1.56,1.64,1.051
2025p054235,2025-01-21T01:36:52.9Z,-36.44,177.71,138,5,6,2.52,2.45,.9722
2025p054335,2025-01-21T02:30:02.6Z,-41.51,173.89,37,3,3,1.57,1.71,1.089
2025p054387,2025-01-21T02:57:52.0Z,-40.41,174.16,43,9,9,2.21,2.13,.9638
2025p054430,2025-01-21T03:20:31.2Z,-38.62,178.92,33,9,9,2.94,2.87,.9761
2025p054464,2025-01-21T03:38:38.8Z,-41.61,171.84,5,7,7,2.64,2.42,.9166
2025p054499,2025-01-21T03:57:06.3Z,-39.12,177.35,24,7,7,1.66,1.51,.9096
2025p054536,2025-01-21T04:18:07.0Z,-39.45,175.94,9,4,3,1.02,0.67,.6568
2025p054563,2025-01-21T04:31:16.0Z,-34.98,179.28,198,6,6,3.64,3.04,.8351
2025p054622,2025-01-21T05:02:57.8Z,-40.27,176.69,16,7,7,1.95,1.76,.9025
2025p054660,2025-01-21T05:23:11.5Z,-35.74,178.24,178,31,30,3.94,3.32,.8426
2025p054681,2025-01-21T05:34:13.0Z,-38.34,178.85,12,6,7,2.55,2.50,.9803
2025p054705,2025-01-21T05:47:01.8Z,-41.28,172.45,172,6,6,1.93,1.88,.9740
2025p054716,2025-01-21T05:52:50.7Z,-38.48,175.67,138,5,7,1.90,1.93,1.015
2025p054722,2025-01-21T05:56:22.2Z,-39.45,175.95,8,6,7,1.14,0.86,.7543
