SEGMENT,lat,lon,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,rise_time,RUPTURE TIME
1,-42.588889,172.96472,14556.605,2.91,248,61,120,3000,3000,2,1.51
1,-42.598953,172.93084,14556.605,2.85,248,61,120,3000,3000,2,0.15
1,-42.609007,172.89695,14556.605,2.82,248,61,120,3000,3000,2,1.73
1,-42.619142,172.86292,14556.605,2.75,248,61,120,3000,3000,2,3.34
1,-42.629176,172.82901,14556.605,2.67,248,61,120,3000,3000,2,4.96
1,-42.6392,172.79508,14556.605,2.63,248,61,120,3000,3000,2,6.58
1,-42.649305,172.76114,14556.605,2.53,248,61,120,3000,3000,2,8.19
1,-42.659309,172.72719,14556.605,2.43,248,61,120,3000,3000,2,9.81
1,-42.669393,172.69323,14556.605,2.31,248,61,120,3000,3000,2,11.43
1,-42.679377,172.65914,14556.605,2.19,248,61,120,3000,3000,2,13.04
1,-42.689351,172.62516,14556.605,1.98,248,61,120,3000,3000,2,14.66
1,-42.699405,172.59117,14556.605,1.84,248,61,120,3000,3000,2,16.27
1,-42.341749,173.73467,17180.465,0.84,248,61,120,3000,3000,2,38.72
1,-42.352039,173.70105,17180.465,1.28,248,61,120,3000,3000,2,37.11
1,-42.362409,173.66741,17180.465,1.53,248,61,120,3000,3000,2,35.49
1,-42.372679,173.63364,17180.465,1.76,248,61,120,3000,3000,2,33.88
1,-42.38294,173.59998,17180.465,1.91,248,61,120,3000,3000,2,32.26
1,-42.39328,173.56632,17180.465,2.12,248,61,120,3000,3000,2,30.65
1,-42.403521,173.53264,17180.465,2.25,248,61,120,3000,3000,2,29.03
1,-42.413842,173.49894,17180.465,2.37,248,61,120,3000,3000,2,27.42
1,-42.424063,173.46524,17180.465,2.48,248,61,120,3000,3000,2,25.8
1,-42.434274,173.43153,17180.465,2.53,248,61,120,3000,3000,2,24.19
1,-42.444566,173.39768,17180.465,2.63,248,61,120,3000,3000,2,22.58
1,-42.454757,173.36395,17180.465,2.71,248,61,120,3000,3000,2,20.96
1,-42.464939,173.3302,17180.465,2.75,248,61,120,3000,3000,2,19.35
1,-42.475201,173.29645,17180.465,2.82,248,61,120,3000,3000,2,17.74
1,-42.485362,173.26268,17180.465,2.85,248,61,120,3000,3000,2,16.13
1,-42.495604,173.2289,17180.465,2.88,248,61,120,3000,3000,2,14.52
1,-42.505747,173.19499,17180.465,2.93,248,61,120,3000,3000,2,12.91
1,-42.515879,173.16119,17180.465,2.93,248,61,120,3000,3000,2,11.31
1,-42.526091,173.12738,17180.465,2.95,248,61,120,3000,3000,2,9.71
1,-42.536203,173.09355,17180.465,2.95,248,61,120,3000,3000,2,8.12
1,-42.546396,173.05972,17180.465,2.93,248,61,120,3000,3000,2,6.54
1,-42.556488,173.02588,17180.465,2.93,248,61,120,3000,3000,2,4.98
1,-42.566571,172.99202,17180.465,2.88,248,61,120,3000,3000,2,3.47
1,-42.576733,172.95803,17180.465,2.85,248,61,120,3000,3000,2,2.14
1,-42.586795,172.92416,17180.465,2.82,248,61,120,3000,3000,2,1.52
1,-42.596848,172.89027,17180.465,2.75,248,61,120,3000,3000,2,2.29
1,-42.60698,172.85637,17180.465,2.71,248,61,120,3000,3000,2,3.67
1,-42.617013,172.82246,17180.465,2.63,248,61,120,3000,3000,2,5.18
1,-42.627125,172.78854,17180.465,2.53,248,61,120,3000,3000,2,6.75
1,-42.637137,172.75448,17180.465,2.48,248,61,120,3000,3000,2,8.33
1,-42.64714,172.72054,17180.465,2.37,248,61,120,3000,3000,2,9.92
1,-42.657222,172.68659,17180.465,2.25,248,61,120,3000,3000,2,11.52
1,-42.667204,172.65262,17180.465,2.12,248,61,120,3000,3000,2,13.13
1,-42.677266,172.61865,17180.465,1.91,248,61,120,3000,3000,2,14.74
1,-42.687228,172.58466,17180.465,1.76,248,61,120,3000,3000,2,16.34
1,-42.329638,173.72786,19804.324,0.47,248,61,120,3000,3000,2,38.82
1,-42.339926,173.69424,19804.324,1.02,248,61,120,3000,3000,2,37.21
1,-42.350294,173.66061,19804.324,1.36,248,61,120,3000,3000,2,35.6
1,-42.360562,173.62697,19804.324,1.61,248,61,120,3000,3000,2,33.99
1,-42.37091,173.59332,19804.324,1.84,248,61,120,3000,3000,2,32.38
1,-42.381159,173.55965,19804.324,1.98,248,61,120,3000,3000,2,30.77
1,-42.391398,173.52598,19804.324,2.12,248,61,120,3000,3000,2,29.16
1,-42.401717,173.49217,19804.324,2.25,248,61,120,3000,3000,2,27.55
1,-42.411936,173.45847,19804.324,2.37,248,61,120,3000,3000,2,25.95
1,-42.422145,173.42477,19804.324,2.48,248,61,120,3000,3000,2,24.34
1,-42.432435,173.39105,19804.324,2.58,248,61,120,3000,3000,2,22.74
1,-42.442624,173.35732,19804.324,2.63,248,61,120,3000,3000,2,21.14
1,-42.452894,173.32358,19804.324,2.67,248,61,120,3000,3000,2,19.54
1,-42.463064,173.2897,19804.324,2.75,248,61,120,3000,3000,2,17.95
1,-42.473224,173.25594,19804.324,2.79,248,61,120,3000,3000,2,16.36
1,-42.483464,173.22217,19804.324,2.82,248,61,120,3000,3000,2,14.78
1,-42.493604,173.18838,19804.324,2.85,248,61,120,3000,3000,2,13.2
1,-42.503824,173.15459,19804.324,2.85,248,61,120,3000,3000,2,11.64
1,-42.513945,173.12078,19804.324,2.88,248,61,120,3000,3000,2,10.09
1,-42.524055,173.08697,19804.324,2.88,248,61,120,3000,3000,2,8.57
1,-42.534246,173.05302,19804.324,2.85,248,61,120,3000,3000,2,7.09
1,-42.544336,173.01918,19804.324,2.85,248,61,120,3000,3000,2,5.68
1,-42.554416,172.98533,19804.324,2.82,248,61,120,3000,3000,2,4.42
1,-42.564577,172.95147,19804.324,2.79,248,61,120,3000,3000,2,3.47
1,-42.574637,172.91759,19804.324,2.75,248,61,120,3000,3000,2,3.13
1,-42.584778,172.88371,19804.324,2.67,248,61,120,3000,3000,2,3.57
1,-42.594818,172.8497,19804.324,2.63,248,61,120,3000,3000,2,4.58
1,-42.604849,172.81579,19804.324,2.58,248,61,120,3000,3000,2,5.86
1,-42.614959,172.78188,19804.324,2.48,248,61,120,3000,3000,2,7.28
1,-42.62497,172.74795,19804.324,2.37,248,61,120,3000,3000,2,8.77
1,-42.63506,172.71401,19804.324,2.25,248,61,120,3000,3000,2,10.29
1,-42.645051,172.68006,19804.324,2.12,248,61,120,3000,3000,2,11.85
1,-42.655031,172.64611,19804.324,1.98,248,61,120,3000,3000,2,13.41
1,-42.665091,172.61201,19804.324,1.84,248,61,120,3000,3000,2,14.99
1,-42.675051,172.57803,19804.324,1.61,248,61,120,3000,3000,2,16.57
1,-42.317526,173.72117,22428.184,0,248,61,120,3000,3000,2,38.98
1,-42.327902,173.68756,22428.184,0.65,248,61,120,3000,3000,2,37.38
1,-42.338178,173.65393,22428.184,1.1,248,61,120,3000,3000,2,35.77
1,-42.348444,173.6203,22428.184,1.45,248,61,120,3000,3000,2,34.17
1,-42.358791,173.58653,22428.184,1.69,248,61,120,3000,3000,2,32.57
1,-42.369038,173.55287,22428.184,1.84,248,61,120,3000,3000,2,30.98
1,-42.379274,173.5192,22428.184,1.98,248,61,120,3000,3000,2,29.38
1,-42.389591,173.48552,22428.184,2.12,248,61,120,3000,3000,2,27.78
1,-42.399809,173.45183,22428.184,2.25,248,61,120,3000,3000,2,26.19
1,-42.410106,173.41813,22428.184,2.37,248,61,120,3000,3000,2,24.6
1,-42.420304,173.38429,22428.184,2.43,248,61,120,3000,3000,2,23.02
1,-42.430491,173.35057,22428.184,2.48,248,61,120,3000,3000,2,21.44
1,-42.440759,173.31683,22428.184,2.58,248,61,120,3000,3000,2,19.87
1,-42.450927,173.28309,22428.184,2.63,248,61,120,3000,3000,2,18.3
1,-42.461175,173.24933,22428.184,2.67,248,61,120,3000,3000,2,16.75
1,-42.471323,173.21556,22428.184,2.71,248,61,120,3000,3000,2,15.2
1,-42.481461,173.18178,22428.184,2.75,248,61,120,3000,3000,2,13.68
1,-42.49168,173.14787,22428.184,2.75,248,61,120,3000,3000,2,12.17
1,-42.501798,173.11407,22428.184,2.75,248,61,120,3000,3000,2,10.7
1,-42.511906,173.08026,22428.184,2.75,248,61,120,3000,3000,2,9.28
1,-42.522095,173.04644,22428.184,2.75,248,61,120,3000,3000,2,7.93
1,-42.532183,173.0126,22428.184,2.75,248,61,120,3000,3000,2,6.71
1,-42.542352,172.97876,22428.184,2.71,248,61,120,3000,3000,2,5.68
1,-42.55242,172.94478,22428.184,2.67,248,61,120,3000,3000,2,4.98
1,-42.562479,172.91091,22428.184,2.63,248,61,120,3000,3000,2,4.75
1,-42.572618,172.87704,22428.184,2.58,248,61,120,3000,3000,2,5.05
1,-42.582656,172.84315,22428.184,2.48,248,61,120,3000,3000,2,5.8
1,-42.592775,172.80925,22428.184,2.43,248,61,120,3000,3000,2,6.86
1,-42.602793,172.77534,22428.184,2.37,248,61,120,3000,3000,2,8.11
1,-42.612802,172.7413,22428.184,2.25,248,61,120,3000,3000,2,9.47
1,-42.62289,172.70737,22428.184,2.12,248,61,120,3000,3000,2,10.9
1,-42.632878,172.67342,22428.184,1.98,248,61,120,3000,3000,2,12.37
1,-42.642857,172.63947,22428.184,1.84,248,61,120,3000,3000,2,13.88
1,-42.652915,172.6055,22428.184,1.69,248,61,120,3000,3000,2,15.41
1,-42.662873,172.57153,22428.184,1.45,248,61,120,3000,3000,2,16.95
1,-42.305414,173.71449,25052.043,0,248,61,120,3000,3000,2,39.21
1,-42.315788,173.68076,25052.043,0,248,61,120,3000,3000,2,37.62
1,-42.326062,173.64714,25052.043,0.65,248,61,120,3000,3000,2,36.02
1,-42.336327,173.61351,25052.043,1.1,248,61,120,3000,3000,2,34.44
1,-42.346671,173.57986,25052.043,1.45,248,61,120,3000,3000,2,32.85
1,-42.356916,173.54621,25052.043,1.61,248,61,120,3000,3000,2,31.26
1,-42.36724,173.51255,25052.043,1.76,248,61,120,3000,3000,2,29.68
1,-42.377466,173.47875,25052.043,1.91,248,61,120,3000,3000,2,28.11
1,-42.387681,173.44506,25052.043,2.05,248,61,120,3000,3000,2,26.53
1,-42.397976,173.41137,25052.043,2.19,248,61,120,3000,3000,2,24.97
1,-42.408172,173.37766,25052.043,2.25,248,61,120,3000,3000,2,23.41
1,-42.418448,173.34394,25052.043,2.37,248,61,120,3000,3000,2,21.86
1,-42.428623,173.31021,25052.043,2.43,248,61,120,3000,3000,2,20.31
1,-42.43879,173.27635,25052.043,2.48,248,61,120,3000,3000,2,18.79
1,-42.449036,173.2426,25052.043,2.53,248,61,120,3000,3000,2,17.27
1,-42.459182,173.20884,25052.043,2.53,248,61,120,3000,3000,2,15.78
1,-42.469318,173.17506,25052.043,2.58,248,61,120,3000,3000,2,14.32
1,-42.479534,173.14128,25052.043,2.63,248,61,120,3000,3000,2,12.89
1,-42.489651,173.10748,25052.043,2.63,248,61,120,3000,3000,2,11.51
1,-42.499847,173.07368,25052.043,2.63,248,61,120,3000,3000,2,10.2
1,-42.509944,173.03974,25052.043,2.63,248,61,120,3000,3000,2,8.99
1,-42.52003,173.00591,25052.043,2.58,248,61,120,3000,3000,2,7.93
1,-42.530197,172.97207,25052.043,2.53,248,61,120,3000,3000,2,7.09
