segment,lon,lat,depth,slip,strike,dip,rake,rupturetime,length,width
1,174.2634,-41.6811,0.0,0.16515,234.0,74.9,106.05, ,1000.0,1035.762
1,174.2616,-41.6791,1000000.0,0.29847,234.0,74.9,137.69, ,1000.0,1035.762
1,174.2597,-41.6771,2000000.0,0.45205,234.0,74.9,147.48, ,1000.0,1035.762
1,174.2579,-41.6751,3000000.0,0.59651,234.0,74.9,151.71, ,1000.0,1035.762
1,174.2561,-41.6731,4000000.0,0.72277,234.0,74.9,154.05, ,1000.0,1035.762
1,174.2543,-41.6711,5000000.0,0.82499,234.0,74.9,155.65, ,1000.0,1035.762
1,174.2525,-41.6691,6000000.0,0.89918,234.0,74.9,157.0, ,1000.0,1035.762
1,174.2507,-41.6671,7000000.0,0.94335,234.0,74.9,158.3, ,1000.0,1035.762
1,174.2489,-41.665,8000000.0,0.95753,234.0,74.9,159.62, ,1000.0,1035.762
1,174.247,-41.663,9000000.0,0.9436,234.0,74.9,160.99, ,1000.0,1035.762
1,174.2452,-41.661,10000000.0,0.90488,234.0,74.9,162.42, ,1000.0,1035.762
1,174.2434,-41.659,11000000.0,0.84565,234.0,74.9,163.89, ,1000.0,1035.762
1,174.2416,-41.657,12000000.0,0.7707,234.0,74.9,165.39, ,1000.0,1035.762
1,174.2398,-41.655,13000000.0,0.68498,234.0,74.9,166.89, ,1000.0,1035.762
1,174.238,-41.653,14000000.0,0.59328,234.0,74.9,168.4, ,1000.0,1035.762
1,174.2362,-41.651,15000000.0,0.50003,234.0,74.9,169.9, ,1000.0,1035.762
1,174.2343,-41.649,16000000.0,0.40914,234.0,74.9,171.37, ,1000.0,1035.762
1,174.2325,-41.6469,17000000.0,0.32393,234.0,74.9,172.82, ,1000.0,1035.762
1,174.2307,-41.6449,18000000.0,0.247,234.0,74.9,174.24, ,1000.0,1035.762
1,174.2289,-41.6429,19000000.0,0.18026,234.0,74.9,175.62, ,1000.0,1035.762
1,174.2271,-41.6409,20000000.0,0.12484,234.0,74.9,176.95, ,1000.0,1035.762
1,174.2253,-41.6389,21000000.0,0.08109,234.0,74.9,178.18, ,1000.0,1035.762
1,174.2235,-41.6369,22000000.0,0.04854,234.0,74.9,179.24, ,1000.0,1035.762
1,174.2216,-41.6349,23000000.0,0.02584,234.0,74.9,179.94, ,1000.0,1035.762
1,174.2198,-41.6329,24000000.0,0.01074,234.0,74.9,180.0, ,1000.0,1035.762
1,174.2534,-41.6862,0.0,0.18067,234.0,74.9,119.78, ,1000.0,1035.762
1,174.2516,-41.6842,1000000.0,0.35897,234.0,74.9,143.5, ,1000.0,1035.762
1,174.2498,-41.6822,2000000.0,0.54331,234.0,74.9,150.51, ,1000.0,1035.762
1,174.248,-41.6802,3000000.0,0.71372,234.0,74.9,153.61, ,1000.0,1035.762
1,174.2462,-41.6781,4000000.0,0.86152,234.0,74.9,155.38, ,1000.0,1035.762
1,174.2444,-41.6761,5000000.0,0.98009,234.0,74.9,156.7, ,1000.0,1035.762
1,174.2425,-41.6741,6000000.0,1.06485,234.0,74.9,157.9, ,1000.0,1035.762
1,174.2407,-41.6721,7000000.0,1.11373,234.0,74.9,159.13, ,1000.0,1035.762
1,174.2389,-41.6701,8000000.0,1.12721,234.0,74.9,160.44, ,1000.0,1035.762
1,174.2371,-41.6681,9000000.0,1.10791,234.0,74.9,161.82, ,1000.0,1035.762
1,174.2353,-41.6661,10000000.0,1.0601,234.0,74.9,163.26, ,1000.0,1035.762
1,174.2335,-41.6641,11000000.0,0.989,234.0,74.9,164.75, ,1000.0,1035.762
1,174.2317,-41.662,12000000.0,0.90034,234.0,74.9,166.26, ,1000.0,1035.762
1,174.2298,-41.66,13000000.0,0.79988,234.0,74.9,167.78, ,1000.0,1035.762
1,174.228,-41.658,14000000.0,0.69313,234.0,74.9,169.29, ,1000.0,1035.762
