SEGMENT,LAT,LON,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH
1, -41.6399, 174.2117, 23000.0000, 0.03409, 234.00, 74.90, 179.98, 1035.762, 1000.000
1, -41.6379, 174.2099, 24000.0000, 0.01466, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6912, 174.2435, 0.0000, 0.21686, 234.00, 74.90, 132.68, 1035.762, 1000.000
1, -41.6892, 174.2417, 1000.0000, 0.43228, 234.00, 74.90, 148.06, 1035.762, 1000.000
1, -41.6872, 174.2398, 2000.0000, 0.64455, 234.00, 74.90, 152.92, 1035.762, 1000.000
1, -41.6852, 174.2380, 3000.0000, 0.83994, 234.00, 74.90, 155.15, 1035.762, 1000.000
1, -41.6832, 174.2362, 4000.0000, 1.00873, 234.00, 74.90, 156.51, 1035.762, 1000.000
1, -41.6812, 174.2344, 5000.0000, 1.14286, 234.00, 74.90, 157.63, 1035.762, 1000.000
1, -41.6792, 174.2326, 6000.0000, 1.23699, 234.00, 74.90, 158.75, 1035.762, 1000.000
1, -41.6771, 174.2308, 7000.0000, 1.28907, 234.00, 74.90, 159.96, 1035.762, 1000.000
1, -41.6751, 174.2290, 8000.0000, 1.30019, 234.00, 74.90, 161.28, 1035.762, 1000.000
1, -41.6731, 174.2271, 9000.0000, 1.27395, 234.00, 74.90, 162.68, 1035.762, 1000.000
1, -41.6711, 174.2253, 10000.0000, 1.21568, 234.00, 74.90, 164.16, 1035.762, 1000.000
1, -41.6691, 174.2235, 11000.0000, 1.13167, 234.00, 74.90, 165.67, 1035.762, 1000.000
1, -41.6671, 174.2217, 12000.0000, 1.02858, 234.00, 74.90, 167.19, 1035.762, 1000.000
1, -41.6651, 174.2199, 13000.0000, 0.91298, 234.00, 74.90, 168.72, 1035.762, 1000.000
1, -41.6631, 174.2181, 14000.0000, 0.79103, 234.00, 74.90, 170.22, 1035.762, 1000.000
1, -41.6610, 174.2163, 15000.0000, 0.66825, 234.00, 74.90, 171.69, 1035.762, 1000.000
1, -41.6590, 174.2145, 16000.0000, 0.54940, 234.00, 74.90, 173.12, 1035.762, 1000.000
1, -41.6570, 174.2126, 17000.0000, 0.43842, 234.00, 74.90, 174.50, 1035.762, 1000.000
1, -41.6550, 174.2108, 18000.0000, 0.33833, 234.00, 74.90, 175.80, 1035.762, 1000.000
1, -41.6530, 174.2090, 19000.0000, 0.25127, 234.00, 74.90, 177.01, 1035.762, 1000.000
1, -41.6510, 174.2072, 20000.0000, 0.17841, 234.00, 74.90, 178.11, 1035.762, 1000.000
1, -41.6490, 174.2054, 21000.0000, 0.11997, 234.00, 74.90, 179.03, 1035.762, 1000.000
1, -41.6470, 174.2036, 22000.0000, 0.07522, 234.00, 74.90, 179.69, 1035.762, 1000.000
1, -41.6449, 174.2018, 23000.0000, 0.04238, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6429, 174.1999, 24000.0000, 0.01862, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6963, 174.2335, 0.0000, 0.27396, 234.00, 74.90, 141.01, 1035.762, 1000.000
1, -41.6943, 174.2317, 1000.0000, 0.51613, 234.00, 74.90, 151.08, 1035.762, 1000.000
1, -41.6922, 174.2299, 2000.0000, 0.75344, 234.00, 74.90, 154.62, 1035.762, 1000.000
1, -41.6902, 174.2281, 3000.0000, 0.97276, 234.00, 74.90, 156.31, 1035.762, 1000.000
1, -41.6882, 174.2263, 4000.0000, 1.16167, 234.00, 74.90, 157.43, 1035.762, 1000.000
1, -41.6862, 174.2245, 5000.0000, 1.31007, 234.00, 74.90, 158.47, 1035.762, 1000.000
1, -41.6842, 174.2226, 6000.0000, 1.41182, 234.00, 74.90, 159.58, 1035.762, 1000.000
1, -41.6822, 174.2208, 7000.0000, 1.46513, 234.00, 74.90, 160.82, 1035.762, 1000.000
1, -41.6802, 174.2190, 8000.0000, 1.47198, 234.00, 74.90, 162.17, 1035.762, 1000.000
1, -41.6782, 174.2172, 9000.0000, 1.43715, 234.00, 74.90, 163.62, 1035.762, 1000.000
1, -41.6761, 174.2154, 10000.0000, 1.36715, 234.00, 74.90, 165.12, 1035.762, 1000.000
1, -41.6741, 174.2136, 11000.0000, 1.26937, 234.00, 74.90, 166.65, 1035.762, 1000.000
1, -41.6721, 174.2118, 12000.0000, 1.15141, 234.00, 74.90, 168.19, 1035.762, 1000.000
1, -41.6701, 174.2099, 13000.0000, 1.02058, 234.00, 74.90, 169.72, 1035.762, 1000.000
1, -41.6681, 174.2081, 14000.0000, 0.88364, 234.00, 74.90, 171.21, 1035.762, 1000.000
1, -41.6661, 174.2063, 15000.0000, 0.74655, 234.00, 74.90, 172.65, 1035.762, 1000.000
1, -41.6641, 174.2045, 16000.0000, 0.61439, 234.00, 74.90, 174.04, 1035.762, 1000.000
1, -41.6621, 174.2027, 17000.0000, 0.49132, 234.00, 74.90, 175.35, 1035.762, 1000.000
1, -41.6600, 174.2009, 18000.0000, 0.38049, 234.00, 74.90, 176.57, 1035.762, 1000.000
1, -41.6580, 174.1991, 19000.0000, 0.28407, 234.00, 74.90, 177.68, 1035.762, 1000.000
1, -41.6560, 174.1973, 20000.0000, 0.20321, 234.00, 74.90, 178.63, 1035.762, 1000.000
1, -41.6540, 174.1954, 21000.0000, 0.13805, 234.00, 74.90, 179.38, 1035.762, 1000.000
1, -41.6520, 174.1936, 22000.0000, 0.08769, 234.00, 74.90, 179.86, 1035.762, 1000.000
1, -41.6500, 174.1918, 23000.0000, 0.05015, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6480, 174.1900, 24000.0000, 0.02234, 234.00, 74.90, 179.99, 1035.762, 1000.000
1, -41.7013, 174.2236, 0.0000, 0.34515, 234.00, 74.90, 144.71, 1035.762, 1000.000
1, -41.6993, 174.2218, 1000.0000, 0.60580, 234.00, 74.90, 152.70, 1035.762, 1000.000
1, -41.6973, 174.2199, 2000.0000, 0.86600, 234.00, 74.90, 155.67, 1035.762, 1000.000
1, -41.6953, 174.2181, 3000.0000, 1.10831, 234.00, 74.90, 157.14, 1035.762, 1000.000
